REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
RB62,R_RES0603_2.2K,2.2K,,RES0603,233.3498,93.218,90,YES
RB63,R_RES0603_2.2K,2.2K,,RES0603,231.8797,93.218,90,YES
RB64,R_RES0603_2.2K,2.2K,,RES0603,230.3557,93.218,90,YES
RB49,R_RES0603_2K,2k,,RES0603,182.2192,101.2616,180,YES
RB80,R_RES0603_324K,324K,,RES0603,114.2492,85.1268,0,YES
RB87,R_RES0603_33 KOHM,33 kOhm,,RES0603,114.5674,77.4954,0,YES
RB89,R_RES0603_33 KOHM,33 kOhm,,RES0603,114.5674,73.2517,0,YES
RB91,R_RES0603_33 KOHM,33 kOhm,,RES0603,118.9482,64.161,180,YES
RB92,R_RES0603_33 KOHM,33 kOhm,,RES0603,118.9482,62.5561,180,YES
RB93,R_RES0603_33 KOHM,33 kOhm,,RES0603,118.9482,60.9513,180,YES
RB94,R_RES0603_33 KOHM,33 kOhm,,RES0603,118.9482,59.3465,180,YES
RB95,R_RES0603_33 KOHM,33 kOhm,,RES0603,118.9482,57.7417,180,YES
RB96,R_RES0603_33 KOHM,33 kOhm,,RES0603,118.9482,56.1368,180,YES
RB1,R_RES0603_330,330,,RES0603,217.6218,162.0149,90,YES
RB3,R_RES0603_330,330,,RES0603,199.2322,161.9641,90,YES
RB4,R_RES0603_330,330,,RES0603,225.044,161.9504,90,YES
RB6,R_RES0603_330,330,,RES0603,180.6902,161.9387,90,YES
RB7,R_RES0603_330,330,,RES0603,66.1674,161.9133,90,YES
RB17,R_RES0603_4.7K,4.7K,,RES0603,225.0198,138.7842,90,YES
RB19,R_RES0603_4.7K,4.7K,,RES0603,222.1928,138.7842,90,YES
RB23,R_RES0603_4.7K,4.7K,,RES0603,206.6302,138.7334,90,YES
RB24,R_RES0603_4.7K,4.7K,,RES0603,203.8032,138.7334,90,YES
RB28,R_RES0603_4.7K,4.7K,,RES0603,188.0882,138.708,90,YES
RB29,R_RES0603_4.7K,4.7K,,RES0603,185.2612,138.708,90,YES
RB51,R_RES0603_4.99K,4.99K,,RES0603,186.8464,99.1616,270,YES
RB71,R_RES0603_4.99K,4.99K,,RES0603,217.123,87.9094,90,YES
RB72,R_RES0603_4.99K,4.99K,,RES0603,215.228,87.9094,90,YES
RB73,R_RES0603_4.99K,4.99K,,RES0603,213.5378,87.9094,90,YES
RB74,R_RES0603_4.99K,4.99K,,RES0603,211.8822,87.884,90,YES
RB75,R_RES0603_4.99K,4.99K,,RES0603,210.409,87.884,90,YES
RB76,R_RES0603_4.99K,4.99K,,RES0603,208.661,87.884,90,YES
